source,target,regex,code,type,hits,title,status
"/weddings","https://flyinghorseclub.com/weddings/",0,301,"url",746,"","active"
"/meetings-events","https://flyinghorseclub.com/meetings-conferences/",0,301,"url",1902,"","active"
"/repo","https://github.com/Classic-Homes/lodge-at-flying-horse",0,301,"url",1,"","active"
"/brochure","https://lodgeatflyinghorse.com/wp-content/uploads/2022/10/Meet-Stay-Play-2022.pdf",0,301,"url",61,"","active"
"/guide","https://lodgeatflyinghorse.com/guest-guide",0,301,"url",2,"","active"
"/guestguide","https://lodgeatflyinghorse.com/guest-guide",0,301,"url",12,"","active"
"/inroomdining","https://lodgeatflyinghorse.com/in-room-dining-menus/",0,301,"url",2255,"","active"
"/fortezzadining","https://lodgeatflyinghorse.com/fortezza-dining-room/",0,301,"url",4319,"","active"
